"","character","text"
"1","Harry Potter","434801b500000f6e067007d0_Was-waere-wohl-wenn"
"2","James ""Krone"" Potter","434801b500000f6e067007d0_Was-waere-wohl-wenn"
"3","Sirius ""Tatze"" Black","434801b500000f6e067007d0_Was-waere-wohl-wenn"
"4","Harry Potter","43f73fd000002124067007d0_Die-Entscheidung--Ein-Leben-zwei-Wege"
"5","Lord Voldemort / Tom Vorlost Riddle","43f73fd000002124067007d0_Die-Entscheidung--Ein-Leben-zwei-Wege"
"6","Harry Potter","464f618700003693067007d0_Im-Kreisel-der-Zeit"
"7","Helga Hufflepuff","464f618700003693067007d0_Im-Kreisel-der-Zeit"
"8","OC (Own Character)","464f618700003693067007d0_Im-Kreisel-der-Zeit"
"9","Rowena Ravenclaw","464f618700003693067007d0_Im-Kreisel-der-Zeit"
"10","Salazar Slytherin","464f618700003693067007d0_Im-Kreisel-der-Zeit"
"11","Ginevra Molly ""Ginny"" Weasley","46bc3de200002307067007d0_Die-Wahrheit-der-Vergangenheit"
"12","Harry Potter","46bc3de200002307067007d0_Die-Wahrheit-der-Vergangenheit"
"13","Hermine Granger","46bc3de200002307067007d0_Die-Wahrheit-der-Vergangenheit"
"14","Ronald ""Ron"" Weasley","46bc3de200002307067007d0_Die-Wahrheit-der-Vergangenheit"
"15","Albus Dumbledore","46cf0057000027aa067007d0_Nur-eine-Handvoll-Worte"
"16","Harry Potter","46cf0057000027aa067007d0_Nur-eine-Handvoll-Worte"
"17","Lord Voldemort / Tom Vorlost Riddle","46cf0057000027aa067007d0_Nur-eine-Handvoll-Worte"
"18","OC (Own Character)","46cf0057000027aa067007d0_Nur-eine-Handvoll-Worte"
"19","Theodore Nott","46cf0057000027aa067007d0_Nur-eine-Handvoll-Worte"
"20","Hermine Granger","471ce34700005391067007d0_Ende-und-Anfang--ueberarbeitet"
"21","Lucius Malfoy","471ce34700005391067007d0_Ende-und-Anfang--ueberarbeitet"
"22","Minerva McGonagall","471ce34700005391067007d0_Ende-und-Anfang--ueberarbeitet"
"23","Narzissa Malfoy","471ce34700005391067007d0_Ende-und-Anfang--ueberarbeitet"
"24","Severus Snape","471ce34700005391067007d0_Ende-und-Anfang--ueberarbeitet"
"25","Severus Snape","472e0ccf00000483067007d0_Gedanken"
"26",NA,"4818839b000053e5067007d0_Advocatus-Diaboli"
"27","Draco Malfoy","48502a16000087de067007d0_Ars-Magica"
"28","Harry Potter","48502a16000087de067007d0_Ars-Magica"
"29","Arthur Weasley","49be403b0000c7d6067007d0_Its-Just-The-Beginning-Not-The-End"
"30","Ginevra Molly ""Ginny"" Weasley","49be403b0000c7d6067007d0_Its-Just-The-Beginning-Not-The-End"
"31","Harry Potter","49be403b0000c7d6067007d0_Its-Just-The-Beginning-Not-The-End"
"32","Hermine Granger","49be403b0000c7d6067007d0_Its-Just-The-Beginning-Not-The-End"
"33","Ronald ""Ron"" Weasley","49be403b0000c7d6067007d0_Its-Just-The-Beginning-Not-The-End"
"34","Ted ""Teddy"" Remus Lupin","49be403b0000c7d6067007d0_Its-Just-The-Beginning-Not-The-End"
"35","James ""Krone"" Potter","4a69cdc40000f537067007d0_Ich-verfasse-dein-Leben-in-Worte"
"36","Lily Potter","4a69cdc40000f537067007d0_Ich-verfasse-dein-Leben-in-Worte"
"37","Harry Potter","4ab28c5c0000ecdd067007d0_Harry-Potter--der-Junge-der-lebt"
"38","Lord Voldemort / Tom Vorlost Riddle","4ab28c5c0000ecdd067007d0_Harry-Potter--der-Junge-der-lebt"
"39","Hermine Granger","4b2687f80000b378067007d0_Its-a-Wonderful-Life---Editierte-Version"
"40","OC (Own Character)","4b2687f80000b378067007d0_Its-a-Wonderful-Life---Editierte-Version"
"41","Severus Snape","4b2687f80000b378067007d0_Its-a-Wonderful-Life---Editierte-Version"
"42","Albus Dumbledore","4b772a6b0000ace3067007d0_Abenteuer-in-der-Zauberschule"
"43","Blaise Zabini","4b772a6b0000ace3067007d0_Abenteuer-in-der-Zauberschule"
"44","Draco Malfoy","4b772a6b0000ace3067007d0_Abenteuer-in-der-Zauberschule"
"45","Godric Gryffindor","4b772a6b0000ace3067007d0_Abenteuer-in-der-Zauberschule"
"46","Harry Potter","4b772a6b0000ace3067007d0_Abenteuer-in-der-Zauberschule"
"47","Oliver Wood","4b772a6b0000ace3067007d0_Abenteuer-in-der-Zauberschule"
"48","James ""Krone"" Potter","4bc1ada30000f590067007d0_In-deinen-Armen"
"49","Sirius ""Tatze"" Black","4bc1ada30000f590067007d0_In-deinen-Armen"
"50","James ""Krone"" Potter","4c864ee700016c14067007d0_Oh-holy-shit"
"51","Lily Potter","4c864ee700016c14067007d0_Oh-holy-shit"
"52","Peter ""Wurmschwanz"" Pettigrew","4c864ee700016c14067007d0_Oh-holy-shit"
"53","Remus ""Moony"" Lupin","4c864ee700016c14067007d0_Oh-holy-shit"
"54","Sirius ""Tatze"" Black","4c864ee700016c14067007d0_Oh-holy-shit"
"55","Draco Malfoy","4d1c99d900014060067007d0_U269C-When-Hermione-Fights-U269C"
"56","Harry Potter","4d1c99d900014060067007d0_U269C-When-Hermione-Fights-U269C"
"57","Hermine Granger","4d1c99d900014060067007d0_U269C-When-Hermione-Fights-U269C"
"58","Lucius Malfoy","4d1c99d900014060067007d0_U269C-When-Hermione-Fights-U269C"
"59","Severus Snape","4d1c99d900014060067007d0_U269C-When-Hermione-Fights-U269C"
"60","Sirius ""Tatze"" Black","4d1c99d900014060067007d0_U269C-When-Hermione-Fights-U269C"
"61","James ""Krone"" Potter","4d28820a0000ecdd067007d0_Lily-Evans-Rumtreiber"
"62","Lily Potter","4d28820a0000ecdd067007d0_Lily-Evans-Rumtreiber"
"63","Peter ""Wurmschwanz"" Pettigrew","4d28820a0000ecdd067007d0_Lily-Evans-Rumtreiber"
"64","Remus ""Moony"" Lupin","4d28820a0000ecdd067007d0_Lily-Evans-Rumtreiber"
"65","Severus Snape","4d28820a0000ecdd067007d0_Lily-Evans-Rumtreiber"
"66","Sirius ""Tatze"" Black","4d28820a0000ecdd067007d0_Lily-Evans-Rumtreiber"
"67","James ""Krone"" Potter","4d2b581b00007e6a067007d0_Die-wichtigste-Stunde-im-Leben-ist-immer"
"68","Lily Potter","4d2b581b00007e6a067007d0_Die-wichtigste-Stunde-im-Leben-ist-immer"
"69","OC (Own Character)","4d2b581b00007e6a067007d0_Die-wichtigste-Stunde-im-Leben-ist-immer"
"70","Remus ""Moony"" Lupin","4d2b581b00007e6a067007d0_Die-wichtigste-Stunde-im-Leben-ist-immer"
"71","Sirius ""Tatze"" Black","4d2b581b00007e6a067007d0_Die-wichtigste-Stunde-im-Leben-ist-immer"
"72","Cedric Diggory","4d3b09420001444f067007d0_Von-1-bis-120-immer-schoen-der"
"73","Draco Malfoy","4d3b09420001444f067007d0_Von-1-bis-120-immer-schoen-der"
"74","Fred Weasley","4d3b09420001444f067007d0_Von-1-bis-120-immer-schoen-der"
"75","Hermine Granger","4d3b09420001444f067007d0_Von-1-bis-120-immer-schoen-der"
"76","Luna Lovegood","4d3b09420001444f067007d0_Von-1-bis-120-immer-schoen-der"
"77","Percy Weasley","4d3b09420001444f067007d0_Von-1-bis-120-immer-schoen-der"
"78","Lord Voldemort / Tom Vorlost Riddle","4d6bed9a0001af94067007d0_Tom-Riddles-Tochter"
"79","Lucius Malfoy","4d6bed9a0001af94067007d0_Tom-Riddles-Tochter"
"80","Narzissa Malfoy","4d6bed9a0001af94067007d0_Tom-Riddles-Tochter"
"81","Draco Malfoy","4dd302a900005e3d067007d0_Das-Gegenmittel"
"82","Lucius Malfoy","4dd302a900005e3d067007d0_Das-Gegenmittel"
"83","OC (Own Character)","4dd302a900005e3d067007d0_Das-Gegenmittel"
"84","Severus Snape","4dd302a900005e3d067007d0_Das-Gegenmittel"
"85","Fred Weasley","4e3a8a0a0001d048067007d0_Harry-Potter-Die-Drachenreiter"
"86","Ginevra Molly ""Ginny"" Weasley","4e3a8a0a0001d048067007d0_Harry-Potter-Die-Drachenreiter"
"87","Harry Potter","4e3a8a0a0001d048067007d0_Harry-Potter-Die-Drachenreiter"
"88","Hermine Granger","4e3a8a0a0001d048067007d0_Harry-Potter-Die-Drachenreiter"
"89","Luna Lovegood","4e3a8a0a0001d048067007d0_Harry-Potter-Die-Drachenreiter"
"90","Neville Longbottom","4e3a8a0a0001d048067007d0_Harry-Potter-Die-Drachenreiter"
"91","Blaise Zabini","4e49b3fd00005fb6067007d0_I-Begin-To-Wonder"
"92","Draco Malfoy","4e49b3fd00005fb6067007d0_I-Begin-To-Wonder"
"93","Harry Potter","4e49b3fd00005fb6067007d0_I-Begin-To-Wonder"
"94","Hermine Granger","4e49b3fd00005fb6067007d0_I-Begin-To-Wonder"
"95","Pansy Parkinson","4e49b3fd00005fb6067007d0_I-Begin-To-Wonder"
"96","Ronald ""Ron"" Weasley","4e49b3fd00005fb6067007d0_I-Begin-To-Wonder"
"97","Fred Weasley","4e8a05090001e6fb067007d0_Warten-auf-dich"
"98","Ginevra Molly ""Ginny"" Weasley","4e8a05090001e6fb067007d0_Warten-auf-dich"
"99","Harry Potter","4e8a05090001e6fb067007d0_Warten-auf-dich"
"100","Hermine Granger","4e8a05090001e6fb067007d0_Warten-auf-dich"
"101","Nymphadora Tonks","4e8a05090001e6fb067007d0_Warten-auf-dich"
"102","Ronald ""Ron"" Weasley","4e8a05090001e6fb067007d0_Warten-auf-dich"
"103","Hermine Granger","4e971c350000707e067007d0_Zur-falschen-Zeit-am-falschen-Ort"
"104","Severus Snape","4e971c350000707e067007d0_Zur-falschen-Zeit-am-falschen-Ort"
"105","Lord Voldemort / Tom Vorlost Riddle","4ee145160001a74c067007d0_Im-Dunkeln-der-Nacht"
"106","OC (Own Character)","4ee145160001a74c067007d0_Im-Dunkeln-der-Nacht"
"107","Remus ""Moony"" Lupin","4ee145160001a74c067007d0_Im-Dunkeln-der-Nacht"
"108","Severus Snape","4ee145160001a74c067007d0_Im-Dunkeln-der-Nacht"
"109","Sirius ""Tatze"" Black","4ee145160001a74c067007d0_Im-Dunkeln-der-Nacht"
"110",NA,"4ee640d80001305b067007d0_MiniHPStorys"
"111","Albus Dumbledore","4eeb188c0001660e067007d0_To-Be-Alive--Lilys-neues-Leben"
"112","Harry Potter","4eeb188c0001660e067007d0_To-Be-Alive--Lilys-neues-Leben"
"113","Lily Potter","4eeb188c0001660e067007d0_To-Be-Alive--Lilys-neues-Leben"
"114","Remus ""Moony"" Lupin","4eeb188c0001660e067007d0_To-Be-Alive--Lilys-neues-Leben"
"115","Severus Snape","4eeb188c0001660e067007d0_To-Be-Alive--Lilys-neues-Leben"
"116","Sirius ""Tatze"" Black","4eeb188c0001660e067007d0_To-Be-Alive--Lilys-neues-Leben"
"117","Albus Dumbledore","4f1311d3000231af067007d0_Let-me-be-her"
"118","Minerva McGonagall","4f1311d3000231af067007d0_Let-me-be-her"
"119","OC (Own Character)","4f1311d3000231af067007d0_Let-me-be-her"
"120","Severus Snape","4f1311d3000231af067007d0_Let-me-be-her"
"121","James ""Krone"" Potter","4f15a6500001a7ea067007d0_Marauders-Time--We-just-live-once"
"122","Lily Potter","4f15a6500001a7ea067007d0_Marauders-Time--We-just-live-once"
"123","Peter ""Wurmschwanz"" Pettigrew","4f15a6500001a7ea067007d0_Marauders-Time--We-just-live-once"
"124","Remus ""Moony"" Lupin","4f15a6500001a7ea067007d0_Marauders-Time--We-just-live-once"
"125","Sirius ""Tatze"" Black","4f15a6500001a7ea067007d0_Marauders-Time--We-just-live-once"
"126","Remus ""Moony"" Lupin","4f48f3a30001e43d067007d0_Der-Weg-ins-Valentinsunglueck"
"127","Severus Snape","4f48f3a30001e43d067007d0_Der-Weg-ins-Valentinsunglueck"
"128","Fenrir Greyback","4f4e771300008b65067007d0_Ueber-die-Zeit-hinaus"
"129","Godric Gryffindor","4f4e771300008b65067007d0_Ueber-die-Zeit-hinaus"
"130","Harry Potter","4f4e771300008b65067007d0_Ueber-die-Zeit-hinaus"
"131","Hermine Granger","4f4e771300008b65067007d0_Ueber-die-Zeit-hinaus"
"132","Rowena Ravenclaw","4f4e771300008b65067007d0_Ueber-die-Zeit-hinaus"
"133","Salazar Slytherin","4f4e771300008b65067007d0_Ueber-die-Zeit-hinaus"
"134","Draco Malfoy","4f79af1600025060067007d0_Revenge--Desire"
"135","Hermine Granger","4f79af1600025060067007d0_Revenge--Desire"
"136","Blaise Zabini","4f89e25200018cd8067007d0_Some-spells-are-different"
"137","Draco Malfoy","4f89e25200018cd8067007d0_Some-spells-are-different"
"138","Fred Weasley","4f89e25200018cd8067007d0_Some-spells-are-different"
"139","Harry Potter","4f89e25200018cd8067007d0_Some-spells-are-different"
"140","Hermine Granger","4f89e25200018cd8067007d0_Some-spells-are-different"
