"","character","text"
"141","OC (Own Character)","4f89e25200018cd8067007d0_Some-spells-are-different"
"142","Godric Gryffindor","4fa59d0000002efe067007d0_Shadows-of-Destiny--Licht-der-Hoffnung"
"143","James ""Krone"" Potter","4fa59d0000002efe067007d0_Shadows-of-Destiny--Licht-der-Hoffnung"
"144","Lily Potter","4fa59d0000002efe067007d0_Shadows-of-Destiny--Licht-der-Hoffnung"
"145","OC (Own Character)","4fa59d0000002efe067007d0_Shadows-of-Destiny--Licht-der-Hoffnung"
"146","Remus ""Moony"" Lupin","4fa59d0000002efe067007d0_Shadows-of-Destiny--Licht-der-Hoffnung"
"147","Sirius ""Tatze"" Black","4fa59d0000002efe067007d0_Shadows-of-Destiny--Licht-der-Hoffnung"
"148","Ginevra Molly ""Ginny"" Weasley","4fbd365c0001fdbe067007d0_Die-Vergangenheit-kehrt-zurueck"
"149","Harry Potter","4fbd365c0001fdbe067007d0_Die-Vergangenheit-kehrt-zurueck"
"150","Hermine Granger","4fbd365c0001fdbe067007d0_Die-Vergangenheit-kehrt-zurueck"
"151","Nymphadora Tonks","4fbd365c0001fdbe067007d0_Die-Vergangenheit-kehrt-zurueck"
"152","Remus ""Moony"" Lupin","4fbd365c0001fdbe067007d0_Die-Vergangenheit-kehrt-zurueck"
"153","Ronald ""Ron"" Weasley","4fbd365c0001fdbe067007d0_Die-Vergangenheit-kehrt-zurueck"
"154","Draco Malfoy","4ff89c0100027963067007d0_Die-Erben-Slytherins"
"155","Harry Potter","4ff89c0100027963067007d0_Die-Erben-Slytherins"
"156","Hermine Granger","4ff89c0100027963067007d0_Die-Erben-Slytherins"
"157","Ronald ""Ron"" Weasley","4ff89c0100027963067007d0_Die-Erben-Slytherins"
"158","Severus Snape","4ff89c0100027963067007d0_Die-Erben-Slytherins"
"159","James ""Krone"" Potter","50082d3900027484067007d0_Bittersweet"
"160","Lily Potter","50082d3900027484067007d0_Bittersweet"
"161","Remus ""Moony"" Lupin","50082d3900027484067007d0_Bittersweet"
"162","Sirius ""Tatze"" Black","50082d3900027484067007d0_Bittersweet"
"163","Draco Malfoy","5028ca2b00016285067007d0_Destroying-Hermione-Granger"
"164","Hermine Granger","5028ca2b00016285067007d0_Destroying-Hermione-Granger"
"165","Albus Dumbledore","5068849800029de5067007d0_Der-Tod-der-Ueberlebenden--Vergessener-Tod"
"166","Draco Malfoy","5068849800029de5067007d0_Der-Tod-der-Ueberlebenden--Vergessener-Tod"
"167","Harry Potter","5068849800029de5067007d0_Der-Tod-der-Ueberlebenden--Vergessener-Tod"
"168","Remus ""Moony"" Lupin","5068849800029de5067007d0_Der-Tod-der-Ueberlebenden--Vergessener-Tod"
"169","Severus Snape","5068849800029de5067007d0_Der-Tod-der-Ueberlebenden--Vergessener-Tod"
"170","Sirius ""Tatze"" Black","5068849800029de5067007d0_Der-Tod-der-Ueberlebenden--Vergessener-Tod"
"171","Albus Dumbledore","5069c88c000222e5067007d0_Der-Verborgene-Raum"
"172","Hermine Granger","5069c88c000222e5067007d0_Der-Verborgene-Raum"
"173","Severus Snape","5069c88c000222e5067007d0_Der-Verborgene-Raum"
"174","Albus Dumbledore","50af50ff00000a47067007d0_Im-Licht-des-silbernen-Mondes"
"175","Cho Chang","50af50ff00000a47067007d0_Im-Licht-des-silbernen-Mondes"
"176","Draco Malfoy","50af50ff00000a47067007d0_Im-Licht-des-silbernen-Mondes"
"177","Harry Potter","50af50ff00000a47067007d0_Im-Licht-des-silbernen-Mondes"
"178","Hermine Granger","50af50ff00000a47067007d0_Im-Licht-des-silbernen-Mondes"
"179","Ronald ""Ron"" Weasley","50af50ff00000a47067007d0_Im-Licht-des-silbernen-Mondes"
"180","Hermine Granger","50af729f0000707e067007d0_The-End-of-all-Hope"
"181","Severus Snape","50af729f0000707e067007d0_The-End-of-all-Hope"
"182","Albus Dumbledore","50c397550000ac63067007d0_Auf-den-Spuren-einer-Schlange"
"183","Lord Voldemort / Tom Vorlost Riddle","50c397550000ac63067007d0_Auf-den-Spuren-einer-Schlange"
"184","OC (Own Character)","50c397550000ac63067007d0_Auf-den-Spuren-einer-Schlange"
"185","Blaise Zabini","50d82b940001632f067007d0_Mission-mit-Folgen"
"186","Draco Malfoy","50d82b940001632f067007d0_Mission-mit-Folgen"
"187","Millicent Bulstrode","50d82b940001632f067007d0_Mission-mit-Folgen"
"188","Draco Malfoy","50e210f3000086fe067007d0_Versprochen"
"189","Ginevra Molly ""Ginny"" Weasley","50e210f3000086fe067007d0_Versprochen"
"190","Lavender Brown","50e210f3000086fe067007d0_Versprochen"
"191","Lord Voldemort / Tom Vorlost Riddle","50e210f3000086fe067007d0_Versprochen"
"192","Narzissa Malfoy","50e210f3000086fe067007d0_Versprochen"
"193","Severus Snape","50e210f3000086fe067007d0_Versprochen"
"194","Blaise Zabini","512a62b30000b09306701389_Sectumsempra"
"195","Draco Malfoy","512a62b30000b09306701389_Sectumsempra"
"196","Harry Potter","512a62b30000b09306701389_Sectumsempra"
"197","Hermine Granger","512a62b30000b09306701389_Sectumsempra"
"198","Ronald ""Ron"" Weasley","512a62b30000b09306701389_Sectumsempra"
"199","Godric Gryffindor","514733db00024e3e06701389_Gruenderjahr--eine-Drabblesammlung"
"200","Helga Hufflepuff","514733db00024e3e06701389_Gruenderjahr--eine-Drabblesammlung"
"201","OC (Own Character)","514733db00024e3e06701389_Gruenderjahr--eine-Drabblesammlung"
"202","Rowena Ravenclaw","514733db00024e3e06701389_Gruenderjahr--eine-Drabblesammlung"
"203","Salazar Slytherin","514733db00024e3e06701389_Gruenderjahr--eine-Drabblesammlung"
"204","James ""Krone"" Potter","51584cf00002bc5306701389_Unforgettable--nichts-wird-vergessen"
"205","Lily Potter","51584cf00002bc5306701389_Unforgettable--nichts-wird-vergessen"
"206","Remus ""Moony"" Lupin","51584cf00002bc5306701389_Unforgettable--nichts-wird-vergessen"
"207","Sirius ""Tatze"" Black","51584cf00002bc5306701389_Unforgettable--nichts-wird-vergessen"
"208",NA,"516af446000152dd06701389_Life-is-like-a-movie"
"209","Fred Weasley","51712a210002d50606701389_Persephone-Baker--die-verlorene-McGonagall"
"210","Ginevra Molly ""Ginny"" Weasley","51712a210002d50606701389_Persephone-Baker--die-verlorene-McGonagall"
"211","Minerva McGonagall","51712a210002d50606701389_Persephone-Baker--die-verlorene-McGonagall"
"212","Oliver Wood","51712a210002d50606701389_Persephone-Baker--die-verlorene-McGonagall"
"213","Draco Malfoy","5194cee40001f66a06701389_Spielarten"
"214","Harry Potter","5194cee40001f66a06701389_Spielarten"
"215","Albus Dumbledore","51b8c87e0001aceda35d7b6_OneShots"
"216","Minerva McGonagall","51b8c87e0001aceda35d7b6_OneShots"
"217",NA,"51c092b20002595c2abf1166_Wo-die-Liebe-hinfaellt"
"218","Draco Malfoy","51c86c190002df3337f49c07_Die-Agentur"
"219","Hermine Granger","51c86c190002df3337f49c07_Die-Agentur"
"220","Albus Severus Potter","51cdcfd30002aacd26584df0_Wenn-Schlangen-und-Loewen-Freunde-sind"
"221","Fred Weasley jr.","51cdcfd30002aacd26584df0_Wenn-Schlangen-und-Loewen-Freunde-sind"
"222","Hugo Weasley","51cdcfd30002aacd26584df0_Wenn-Schlangen-und-Loewen-Freunde-sind"
"223","Lily Luna Potter","51cdcfd30002aacd26584df0_Wenn-Schlangen-und-Loewen-Freunde-sind"
"224","OC (Own Character)","51cdcfd30002aacd26584df0_Wenn-Schlangen-und-Loewen-Freunde-sind"
"225","Scorpius Malfoy","51cdcfd30002aacd26584df0_Wenn-Schlangen-und-Loewen-Freunde-sind"
"226","Blaise Zabini","51ceec45000311b5149ee10c_Ex-Domo"
"227","Draco Malfoy","51ceec45000311b5149ee10c_Ex-Domo"
"228","OC (Own Character)","51ceec45000311b5149ee10c_Ex-Domo"
"229","Arthur Weasley","51d2ab790001f5951cc2b17a_Remember-Me"
"230","Draco Malfoy","51d2ab790001f5951cc2b17a_Remember-Me"
"231","Ginevra Molly ""Ginny"" Weasley","51d2ab790001f5951cc2b17a_Remember-Me"
"232","Harry Potter","51d2ab790001f5951cc2b17a_Remember-Me"
"233","Hermine Granger","51d2ab790001f5951cc2b17a_Remember-Me"
"234","Ronald ""Ron"" Weasley","51d2ab790001f5951cc2b17a_Remember-Me"
"235","James ""Krone"" Potter","51d4202e0002df7a19a56d90_Padfoot--oder-wie-Sirius-Black-sein"
"236","Lily Potter","51d4202e0002df7a19a56d90_Padfoot--oder-wie-Sirius-Black-sein"
"237","Peter ""Wurmschwanz"" Pettigrew","51d4202e0002df7a19a56d90_Padfoot--oder-wie-Sirius-Black-sein"
"238","Remus ""Moony"" Lupin","51d4202e0002df7a19a56d90_Padfoot--oder-wie-Sirius-Black-sein"
"239","Sirius ""Tatze"" Black","51d4202e0002df7a19a56d90_Padfoot--oder-wie-Sirius-Black-sein"
"240","Aberforth Dumbledore","51d444b900028ce52f7e92f3_Liebende-Feinde"
"241","Fawkes","51d444b900028ce52f7e92f3_Liebende-Feinde"
"242","Godric Gryffindor","51d444b900028ce52f7e92f3_Liebende-Feinde"
"243","Rufus Scrimgeour","51d444b900028ce52f7e92f3_Liebende-Feinde"
"244","Salazar Slytherin","51d444b900028ce52f7e92f3_Liebende-Feinde"
"245","Terence Higgs","51d444b900028ce52f7e92f3_Liebende-Feinde"
"246","Blaise Zabini","51e80305000239be241d68c7_Dear-heart-why-him"
"247","Draco Malfoy","51e80305000239be241d68c7_Dear-heart-why-him"
"248","Harry Potter","51e80305000239be241d68c7_Dear-heart-why-him"
"249","Hermine Granger","51e80305000239be241d68c7_Dear-heart-why-him"
"250","Ronald ""Ron"" Weasley","51e80305000239be241d68c7_Dear-heart-why-him"
"251","Severus Snape","51e80305000239be241d68c7_Dear-heart-why-him"
"252","Albus Dumbledore","51ff943900006dac3024f603_Wissen-Zeit-Macht--Ouroboros"
"253","Gellert Grindelwald","51ff943900006dac3024f603_Wissen-Zeit-Macht--Ouroboros"
"254","Irma Pince","51ff943900006dac3024f603_Wissen-Zeit-Macht--Ouroboros"
"255","Lord Voldemort / Tom Vorlost Riddle","51ff943900006dac3024f603_Wissen-Zeit-Macht--Ouroboros"
"256","OC (Own Character)","51ff943900006dac3024f603_Wissen-Zeit-Macht--Ouroboros"
"257","Severus Snape","51ff943900006dac3024f603_Wissen-Zeit-Macht--Ouroboros"
"258","Harry Potter","5203462600031ea71dc3fd3f_Ausgangssperre-Pff"
"259","Severus Snape","5203462600031ea71dc3fd3f_Ausgangssperre-Pff"
"260","OC (Own Character)","520e9e5a00033f689e6a780_Ich-bin-am-Leben"
"261","Severus Snape","520e9e5a00033f689e6a780_Ich-bin-am-Leben"
"262","Harry Potter","523a9866000073d010ed33be_The-Marriage-Stone"
"263","Severus Snape","523a9866000073d010ed33be_The-Marriage-Stone"
"264","Rose Weasley","527266aa0000c764249550a6_Nur-einen-Herzschlag-entfernt"
"265","Scorpius Malfoy","527266aa0000c764249550a6_Nur-einen-Herzschlag-entfernt"
"266","Ginevra Molly ""Ginny"" Weasley","52757075000368f62a6e6892_Jenny-Danger--Harry-Potter"
"267","Harry Potter","52757075000368f62a6e6892_Jenny-Danger--Harry-Potter"
"268",NA,"52b0deed000129a615e17930_Was-ein-Pirat-veraendern-kann"
"269","Albus Dumbledore","52ca996d00026030388ed1e3_Harry-Potter-und-der-Ruf-der-Zukunft"
"270","Draco Malfoy","52ca996d00026030388ed1e3_Harry-Potter-und-der-Ruf-der-Zukunft"
"271","Harry Potter","52ca996d00026030388ed1e3_Harry-Potter-und-der-Ruf-der-Zukunft"
"272","Hermine Granger","52ca996d00026030388ed1e3_Harry-Potter-und-der-Ruf-der-Zukunft"
"273","Ronald ""Ron"" Weasley","52ca996d00026030388ed1e3_Harry-Potter-und-der-Ruf-der-Zukunft"
"274","Severus Snape","52ca996d00026030388ed1e3_Harry-Potter-und-der-Ruf-der-Zukunft"
"275","Rubeus Hagrid","52d3975a0002afd4b66baa1_A-giant-to-dream--Grawp"
"276","Bellatrix Lestrange","52e8b0f5000355701f0a2273_three"
"277","Draco Malfoy","52e8b0f5000355701f0a2273_three"
"278","Hermine Granger","52e8b0f5000355701f0a2273_three"
"279","Lavender Brown","52e8b0f5000355701f0a2273_three"
"280","Lily Potter","52e8b0f5000355701f0a2273_three"
"281","Oliver Wood","52e8b0f5000355701f0a2273_three"
"282","James ""Krone"" Potter","52eea13a00012da92f6815ca_The-Life-and-Times-uebersetzt"
"283","Lily Potter","52eea13a00012da92f6815ca_The-Life-and-Times-uebersetzt"
"284","Blaise Zabini","52f6229a000218783a23c06c_Alicenicht-ganz-im-Wunderland-DracoOC"
"285","Draco Malfoy","52f6229a000218783a23c06c_Alicenicht-ganz-im-Wunderland-DracoOC"
"286","Harry Potter","52f6229a000218783a23c06c_Alicenicht-ganz-im-Wunderland-DracoOC"
"287","Hermine Granger","52f6229a000218783a23c06c_Alicenicht-ganz-im-Wunderland-DracoOC"
"288","OC (Own Character)","52f6229a000218783a23c06c_Alicenicht-ganz-im-Wunderland-DracoOC"
"289","Ronald ""Ron"" Weasley","52f6229a000218783a23c06c_Alicenicht-ganz-im-Wunderland-DracoOC"
"290","Albus Dumbledore","5315da000000bdd92aa3b6a9_Harry-Potter--und-das-Geheimnis-des"
"291","Harry Potter","5315da000000bdd92aa3b6a9_Harry-Potter--und-das-Geheimnis-des"
"292","Hermine Granger","5315da000000bdd92aa3b6a9_Harry-Potter--und-das-Geheimnis-des"
"293","Lily Potter","5315da000000bdd92aa3b6a9_Harry-Potter--und-das-Geheimnis-des"
"294","Ronald ""Ron"" Weasley","5315da000000bdd92aa3b6a9_Harry-Potter--und-das-Geheimnis-des"
"295","Severus Snape","5315da000000bdd92aa3b6a9_Harry-Potter--und-das-Geheimnis-des"
"296","Blaise Zabini","53247a4e0001b07536f35aef_Harry-Potter--Eine-etwas-andere-Geschichte"
"297","Draco Malfoy","53247a4e0001b07536f35aef_Harry-Potter--Eine-etwas-andere-Geschichte"
"298","Ginevra Molly ""Ginny"" Weasley","53247a4e0001b07536f35aef_Harry-Potter--Eine-etwas-andere-Geschichte"
"299","Harry Potter","53247a4e0001b07536f35aef_Harry-Potter--Eine-etwas-andere-Geschichte"
"300","Hermine Granger","53247a4e0001b07536f35aef_Harry-Potter--Eine-etwas-andere-Geschichte"
"301","Theodore Nott","53247a4e0001b07536f35aef_Harry-Potter--Eine-etwas-andere-Geschichte"
"302","Dorcas Meadowes","53271cfa00009c6c7b22471_She-acts-like-a-Woman-should"
"303","James ""Krone"" Potter","53271cfa00009c6c7b22471_She-acts-like-a-Woman-should"
"304","Lily Potter","53271cfa00009c6c7b22471_She-acts-like-a-Woman-should"
"305","Regulus Arcturus Black","53271cfa00009c6c7b22471_She-acts-like-a-Woman-should"
"306","Remus ""Moony"" Lupin","53271cfa00009c6c7b22471_She-acts-like-a-Woman-should"
"307","Sirius ""Tatze"" Black","53271cfa00009c6c7b22471_She-acts-like-a-Woman-should"
"308","Draco Malfoy","5341a5e90002f5f913cac5af_Reborn"
