"","id","slash","characters","ff_ids"
"1","434801b500000f6e067007d0","Gen","Harry Potter, James ""Krone"" Potter, Sirius ""Tatze"" Black","434801b500000f6e067007d0_Was-waere-wohl-wenn"
"2","43f73fd000002124067007d0","Gen","Harry Potter, Lord Voldemort / Tom Vorlost Riddle","43f73fd000002124067007d0_Die-Entscheidung--Ein-Leben-zwei-Wege"
"3","464f618700003693067007d0","Het","Harry Potter, Helga Hufflepuff, OC (Own Character), Rowena Ravenclaw, Salazar Slytherin","464f618700003693067007d0_Im-Kreisel-der-Zeit"
"4","46bc3de200002307067007d0","Het","Ginevra Molly ""Ginny"" Weasley, Harry Potter, Hermine Granger, Ronald ""Ron"" Weasley","46bc3de200002307067007d0_Die-Wahrheit-der-Vergangenheit"
"5","46cf0057000027aa067007d0","Gen","Albus Dumbledore, Harry Potter, Lord Voldemort / Tom Vorlost Riddle, OC (Own Character), Theodore Nott","46cf0057000027aa067007d0_Nur-eine-Handvoll-Worte"
"6","471ce34700005391067007d0","Gen","Hermine Granger, Lucius Malfoy, Minerva McGonagall, Narzissa Malfoy, Severus Snape","471ce34700005391067007d0_Ende-und-Anfang--ueberarbeitet"
"7","472e0ccf00000483067007d0","Gen","Severus Snape","472e0ccf00000483067007d0_Gedanken"
"8","4818839b000053e5067007d0",NA,"","4818839b000053e5067007d0_Advocatus-Diaboli"
"9","48502a16000087de067007d0","MaleSlash","Draco Malfoy, Harry Potter","48502a16000087de067007d0_Ars-Magica"
"10","49be403b0000c7d6067007d0","Gen","Arthur Weasley, Ginevra Molly ""Ginny"" Weasley, Harry Potter, Hermine Granger, Ronald ""Ron"" Weasley, Ted ""Teddy"" Remus Lupin","49be403b0000c7d6067007d0_Its-Just-The-Beginning-Not-The-End"
"11","4a69cdc40000f537067007d0","Gen","James ""Krone"" Potter, Lily Potter","4a69cdc40000f537067007d0_Ich-verfasse-dein-Leben-in-Worte"
"12","4ab28c5c0000ecdd067007d0","Gen","Harry Potter, Lord Voldemort / Tom Vorlost Riddle","4ab28c5c0000ecdd067007d0_Harry-Potter--der-Junge-der-lebt"
"13","4b2687f80000b378067007d0","Het","Hermine Granger, OC (Own Character), Severus Snape","4b2687f80000b378067007d0_Its-a-Wonderful-Life---Editierte-Version"
"14","4b772a6b0000ace3067007d0","MaleSlash","Albus Dumbledore, Blaise Zabini, Draco Malfoy, Godric Gryffindor, Harry Potter, Oliver Wood","4b772a6b0000ace3067007d0_Abenteuer-in-der-Zauberschule"
"15","4bc1ada30000f590067007d0","MaleSlash","James ""Krone"" Potter, Sirius ""Tatze"" Black","4bc1ada30000f590067007d0_In-deinen-Armen"
"16","4c864ee700016c14067007d0","Gen","James ""Krone"" Potter, Lily Potter, Peter ""Wurmschwanz"" Pettigrew, Remus ""Moony"" Lupin, Sirius ""Tatze"" Black","4c864ee700016c14067007d0_Oh-holy-shit"
"17","4d1c99d900014060067007d0","Gen","Draco Malfoy, Harry Potter, Hermine Granger, Lucius Malfoy, Severus Snape, Sirius ""Tatze"" Black","4d1c99d900014060067007d0_U269C-When-Hermione-Fights-U269C"
"18","4d28820a0000ecdd067007d0","Gen","James ""Krone"" Potter, Lily Potter, Peter ""Wurmschwanz"" Pettigrew, Remus ""Moony"" Lupin, Severus Snape, Sirius ""Tatze"" Black","4d28820a0000ecdd067007d0_Lily-Evans-Rumtreiber"
"19","4d2b581b00007e6a067007d0","Gen","James ""Krone"" Potter, Lily Potter, OC (Own Character), Remus ""Moony"" Lupin, Sirius ""Tatze"" Black","4d2b581b00007e6a067007d0_Die-wichtigste-Stunde-im-Leben-ist-immer"
"20","4d3b09420001444f067007d0","Gen","Cedric Diggory, Draco Malfoy, Fred Weasley, Hermine Granger, Luna Lovegood, Percy Weasley","4d3b09420001444f067007d0_Von-1-bis-120-immer-schoen-der"
"21","4d6bed9a0001af94067007d0","Gen","Lord Voldemort / Tom Vorlost Riddle, Lucius Malfoy, Narzissa Malfoy","4d6bed9a0001af94067007d0_Tom-Riddles-Tochter"
"22","4dd302a900005e3d067007d0","Het","Draco Malfoy, Lucius Malfoy, OC (Own Character), Severus Snape","4dd302a900005e3d067007d0_Das-Gegenmittel"
"23","4e3a8a0a0001d048067007d0","Gen","Fred Weasley, Ginevra Molly ""Ginny"" Weasley, Harry Potter, Hermine Granger, Luna Lovegood, Neville Longbottom","4e3a8a0a0001d048067007d0_Harry-Potter-Die-Drachenreiter"
"24","4e49b3fd00005fb6067007d0","MaleSlash","Blaise Zabini, Draco Malfoy, Harry Potter, Hermine Granger, Pansy Parkinson, Ronald ""Ron"" Weasley","4e49b3fd00005fb6067007d0_I-Begin-To-Wonder"
"25","4e8a05090001e6fb067007d0","Gen","Fred Weasley, Ginevra Molly ""Ginny"" Weasley, Harry Potter, Hermine Granger, Nymphadora Tonks, Ronald ""Ron"" Weasley","4e8a05090001e6fb067007d0_Warten-auf-dich"
"26","4e971c350000707e067007d0","Gen","Hermine Granger, Severus Snape","4e971c350000707e067007d0_Zur-falschen-Zeit-am-falschen-Ort"
"27","4ee145160001a74c067007d0","Gen","Lord Voldemort / Tom Vorlost Riddle, OC (Own Character), Remus ""Moony"" Lupin, Severus Snape, Sirius ""Tatze"" Black","4ee145160001a74c067007d0_Im-Dunkeln-der-Nacht"
"28","4ee640d80001305b067007d0","Gen","","4ee640d80001305b067007d0_MiniHPStorys"
"29","4eeb188c0001660e067007d0","Gen","Albus Dumbledore, Harry Potter, Lily Potter, Remus ""Moony"" Lupin, Severus Snape, Sirius ""Tatze"" Black","4eeb188c0001660e067007d0_To-Be-Alive--Lilys-neues-Leben"
"30","4f1311d3000231af067007d0","Gen","Albus Dumbledore, Minerva McGonagall, OC (Own Character), Severus Snape","4f1311d3000231af067007d0_Let-me-be-her"
"31","4f15a6500001a7ea067007d0","MaleSlash","James ""Krone"" Potter, Lily Potter, Peter ""Wurmschwanz"" Pettigrew, Remus ""Moony"" Lupin, Sirius ""Tatze"" Black","4f15a6500001a7ea067007d0_Marauders-Time--We-just-live-once"
"32","4f48f3a30001e43d067007d0","MaleSlash","Remus ""Moony"" Lupin, Severus Snape","4f48f3a30001e43d067007d0_Der-Weg-ins-Valentinsunglueck"
"33","4f4e771300008b65067007d0","MaleSlash","Fenrir Greyback, Godric Gryffindor, Harry Potter, Hermine Granger, Rowena Ravenclaw, Salazar Slytherin","4f4e771300008b65067007d0_Ueber-die-Zeit-hinaus"
"34","4f79af1600025060067007d0","Gen","Draco Malfoy, Hermine Granger","4f79af1600025060067007d0_Revenge--Desire"
"35","4f89e25200018cd8067007d0","Gen","Blaise Zabini, Draco Malfoy, Fred Weasley, Harry Potter, Hermine Granger, OC (Own Character)","4f89e25200018cd8067007d0_Some-spells-are-different"
"36","4fa59d0000002efe067007d0","Het","Godric Gryffindor, James ""Krone"" Potter, Lily Potter, OC (Own Character), Remus ""Moony"" Lupin, Sirius ""Tatze"" Black","4fa59d0000002efe067007d0_Shadows-of-Destiny--Licht-der-Hoffnung"
"37","4fbd365c0001fdbe067007d0","Gen","Ginevra Molly ""Ginny"" Weasley, Harry Potter, Hermine Granger, Nymphadora Tonks, Remus ""Moony"" Lupin, Ronald ""Ron"" Weasley","4fbd365c0001fdbe067007d0_Die-Vergangenheit-kehrt-zurueck"
